record_id,activitywindow_date_id,source_id,country,value,isOriginal
,582,92,GGG,276,1
,582,92,IRN,0,1
,582,92,DJI,0,1
,582,92,MTQ,0,1
,582,92,VCT,0,1
,582,92,WSM,0,1
,582,92,SRB,0,1
,582,92,CYM,0,1
,582,92,BWA,0,1
,582,92,BES,0,1
,582,92,BHR,0,1
,582,92,GNB,0,1
,582,92,NER,0,1
,582,92,LBY,0,1
,582,92,ARM,0,1
,582,92,MNG,0,1
,582,92,LVA,0,1
,582,92,VGB,0,1
,582,92,REU,0,1
,582,92,AIA,0,1
,582,92,SOM,0,1
,582,92,MLT,0,1
,582,92,PSE,0,1
,582,92,HRV,0,1
,582,92,LSO,0,1
,582,92,CUW,0,1
,582,92,SEN,0,1
,582,92,OMN,0,1
,582,92,PRT,0,1
,582,92,KHM,0,1
,582,92,SVK,0,1
,582,92,CZE,0,1
,582,92,STP,0,1
,582,92,URY,0,1
,582,92,SYC,0,1
,582,92,BLR,0,1
,582,92,NAM,0,1
,582,92,SUR,0,1
,582,92,MOZ,0,1
,582,92,ISR,0,1
,582,92,LKA,0,1
,582,92,NOR,0,1
,582,92,TON,0,1
,582,92,LTU,0,1
,582,92,TLS,0,1
,582,92,BTN,0,1
,582,92,SYR,0,1
,582,92,MWI,0,1
,582,92,BRN,0,1
,582,92,AUT,0,1
,582,92,BDI,0,1
,582,92,TCD,0,1
,582,92,IRL,0,1
,582,92,SLB,0,1
,582,92,BFA,0,1
,582,92,BLZ,0,1
,582,92,QAT,0,1
,582,92,BEL,0,1
,582,92,SWE,0,1
,582,92,PLW,0,1
,582,92,LAO,0,1
,582,92,CHE,0,1
,582,92,MLI,0,1
,582,92,PRY,0,1
,582,92,MMR,0,1
,582,92,JAM,0,1
,582,92,HUN,0,1
,582,92,TUN,0,1
,582,92,AGO,0,1
,582,92,RWA,0,1
,582,92,HTI,0,1
,582,92,NIC,0,1
,582,92,BGR,0,1
,582,92,TTO,0,1
,582,92,KGZ,0,1
,582,92,BOL,0,1
,582,92,KWT,0,1
,582,92,BEN,0,1
,582,92,ZWE,0,1
,582,92,ZMB,0,1
,582,92,ESP,0,1
,582,92,UZB,0,1
,582,92,GRD,0,1
,582,92,DMA,0,1
,582,92,ISL,0,1
,582,92,MAR,1,1
,582,92,CUB,0,1
,582,92,GIN,0,1
,582,92,FIN,0,1
,582,92,BRB,0,1
,582,92,IRQ,0,1
,582,92,SDN,1,1
,582,92,CAF,0,1
,582,92,SLE,0,1
,582,92,GUM,0,1
,582,92,PAK,0,1
,582,92,BGD,0,1
,582,92,NPL,0,1
,582,92,MDA,0,1
,582,92,SVN,0,1
,582,92,TGO,0,1
,582,92,TUR,0,1
,582,92,NLD,1,1
,582,92,PRI,0,1
,582,92,JOR,0,1
,582,92,TWN,0,1
,582,92,DZA,0,1
,582,92,PNG,1,1
,582,92,SLV,0,1
,582,92,FJI,0,1
,582,92,MUS,0,1
,582,92,CRI,1,1
,582,92,UGA,0,1
,582,92,TJK,0,1
,582,92,ALB,1,1
,582,92,GMB,0,1
,582,92,ITA,1,1
,582,92,DOM,0,1
,582,92,GUY,0,1
,582,92,MDG,0,1
,582,92,HND,1,1
,582,92,VNM,0,1
,582,92,POL,0,1
,582,92,COG,1,1
,582,92,CHL,1,1
,582,92,HKG,1,1
,582,92,UKR,0,1
,582,92,DEU,1,1
,582,92,THA,0,1
,582,92,GRC,0,1
,582,92,SWZ,0,1
,582,92,TZA,0,1
,582,92,JPN,1,1
,582,92,GAB,1,1
,582,92,EGY,0,1
,582,92,LBR,0,1
,582,92,SAU,0,1
,582,92,ETH,1,1
,582,92,CIV,1,1
,582,92,ROU,0,1
,582,92,KAZ,0,1
,582,92,PER,0,1
,582,92,PAN,0,1
,582,92,KOR,1,1
,582,92,COD,0,1
,582,92,KEN,0,1
,582,92,LBN,0,1
,582,92,NZL,2,1
,582,92,ARE,0,1
,582,92,FRA,3,1
,582,92,RUS,4,1
,582,92,NGA,1,1
,582,92,CHN,1,1
,582,92,AUS,0,1
,582,92,ECU,0,1
,582,92,GHA,0,1
,582,92,GBR,2,1
,582,92,ZAF,2,1
